I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-65.5064424038902,-91.73997159192439,-51.624966451462804,-93.5671358144976,-92.65357018967833,-50.783816720273244,-89.33230947807489,-88.34254184165465,H,H,low
-63.24354452124411,-191.52839394054124,-144.58991745112365,-101.44912572052561,-168.4837126952047,-146.87518689793575,-108.74978136207302,-167.1426084181245,I,C,low
-67.37959716759917,-254.09065395062802,-171.75519996521325,-162.82225776394785,-166.54161831751549,-174.27113528953376,-172.1858019938097,-172.7501616470744,I,I,high
-64.46232078520212,-149.2728879808868,-85.4394670496031,-109.20492212436797,-130.91775882309446,-84.91972587910529,-110.49952218540103,-130.2253853855611,I,G,low
-70.18218508580637,-46.177899632368664,-62.24061319055384,-63.08258572018687,-61.38303569263857,-52.463987137021455,-53.46889574195029,-51.31723827090663,G,I,low
-65.46847124800142,-68.93113407976399,-54.02427563430812,-86.10616509774982,-69.25147158041773,-48.10880168404305,-80.01588052620745,-63.67311613313719,H,H,high
-65.06167252993536,-321.33691081060255,-120.69915545036042,-347.7333760949285,-152.5263971960925,-127.22138424675323,-346.1234683152996,-157.937487452093,I,H,low
-64.02868073858977,-85.33695160824138,-54.85996735591188,-89.22229105522104,-81.97493739634132,-52.27567976842037,-84.55115027640426,-77.77472975710542,H,C,low
-68.20927226015296,-188.97927898135185,-55.59831658728821,-170.1126224441712,-162.4211395919479,-61.339637309179686,-167.479508730178,-159.63688702764946,C,C,low
-66.85283065106199,-39.157346114293354,-56.7500667251078,-57.35852298858147,-56.275109189237654,-45.841375394133266,-46.41966862863362,-45.59231913243374,G,G,high
-64.45708242759986,-149.27570911641544,-85.43720031106263,-109.20411588159628,-130.91705249304093,-84.91814545082586,-110.49930054238473,-130.2259146364183,I,H,low
-77.48608324533075,-95.9753674042806,-64.86506164309449,-125.96969588739663,-94.67256220725444,-56.059525696969125,-117.97386173154953,-88.11099878100222,H,H,low
-78.60523172039304,-43.161342108314116,-68.2128599146315,-67.48904921600189,-67.68958127014312,-52.53978962848537,-52.00842052605419,-52.32426298475506,G,H,low
-63.573451768448706,-268.9626188500975,-203.98195753861904,-86.71777101534032,-224.16868735115554,-203.43949158608658,-92.64932766011086,-224.1074177256296,I,C,high
-69.2503383204442,-394.096019696882,-53.04994365574699,-319.1828423669167,-338.26823291608105,-59.675546109073835,-320.4961269883324,-338.98762230113863,C,C,high
-60.517149898762554,-105.50882228665819,-51.64372615491384,-96.5569038061376,-102.03337431167152,-50.41268504660116,-92.91595413359907,-97.85608171367971,H,H,high
-66.16481726771156,-49.5382170121067,-52.486572583079734,-63.68785081279625,-61.24061549446806,-49.52004510722106,-59.44712907300234,-57.34060129254455,H,G,low
-67.36624029016966,-60.7550587680736,-56.50368747220179,-66.1348338507018,-67.87895111814834,-51.3032304812558,-60.25466848992451,-61.762823478645764,H,H,high
-65.97914313155192,-39.20695824162206,-52.38773492491084,-53.59288696437619,-53.624765638130796,-46.232409794730415,-47.714636850767356,-47.79541050505374,G,G,high
-65.88741842595124,-174.42131101695745,-73.13187135912165,-169.64327302649696,-122.33822186316904,-74.86868992066037,-167.51980017933133,-121.8830488217471,I,H,low
-68.44371954678178,-179.2076587546545,-53.77927208389213,-143.43886842086883,-157.85868670326192,-57.85421673310736,-141.89184753424877,-156.09080913730526,C,H,high
